Iteration,MinGene,MaxGene,MutateChangePopulation,MaxMutationRate,AverageFitness
1,-0.0102,0.0102,0.4897,0.2593,0.0927
2,-0.0477,0.0477,0.4921,0.2136,0.0430
3,-0.0165,0.0165,0.4748,0.2968,0.0699
4,-0.0186,0.0186,0.4848,0.2399,0.1498
5,-0.0397,0.0397,0.4224,0.2783,0.0409
6,-0.0184,0.0184,0.4736,0.2400,0.0468
7,-0.0340,0.0340,0.3872,0.2590,0.0498
8,-0.0305,0.0305,0.4392,0.2255,0.0608
9,-0.0146,0.0146,0.4061,0.2991,0.1358
10,-0.0440,0.0440,0.4573,0.2658,0.0723
11,-0.0443,0.0443,0.4997,0.2808,0.0583
12,-0.0491,0.0491,0.4796,0.2117,0.0606
13,-0.0105,0.0105,0.4476,0.2066,0.0945
14,-0.0104,0.0104,0.5082,0.2844,0.0819
15,-0.0324,0.0324,0.4769,0.2683,0.0680
16,-0.0250,0.0250,0.3730,0.2153,0.0469
17,-0.0108,0.0108,0.4727,0.2248,0.1006
18,-0.0447,0.0447,0.3770,0.2331,0.0362
19,-0.0131,0.0131,0.4284,0.2533,0.0556
20,-0.0108,0.0108,0.3754,0.2552,0.0598
21,-0.0498,0.0498,0.4561,0.2244,0.0626
22,-0.0438,0.0438,0.5047,0.2221,0.0535
23,-0.0129,0.0129,0.4702,0.2418,0.0900
24,-0.0277,0.0277,0.4840,0.2171,0.0889
25,-0.0363,0.0363,0.4801,0.2657,0.0293
26,-0.0156,0.0156,0.5155,0.2380,0.0847
27,-0.0114,0.0114,0.4136,0.2045,0.1102
28,-0.0334,0.0334,0.4311,0.2162,0.0704
29,-0.0376,0.0376,0.3808,0.2136,0.0807
30,-0.0408,0.0408,0.5010,0.2553,0.0671
31,-0.0377,0.0377,0.3839,0.2391,0.0604
32,-0.0238,0.0238,0.4167,0.2435,0.0513
33,-0.0387,0.0387,0.4805,0.2932,0.0517
34,-0.0407,0.0407,0.5159,0.2637,0.0510
35,-0.0210,0.0210,0.3881,0.2704,0.0874
36,-0.0282,0.0282,0.4604,0.2224,0.0423
37,-0.0132,0.0132,0.3877,0.2218,0.0877
38,-0.0373,0.0373,0.4382,0.2655,0.0450
39,-0.0124,0.0124,0.3826,0.2749,0.1446
40,-0.0401,0.0401,0.4856,0.2642,0.0609
41,-0.0470,0.0470,0.4132,0.2514,0.0698
42,-0.0150,0.0150,0.5165,0.2904,0.0750
43,-0.0257,0.0257,0.3860,0.2220,0.0796
44,-0.0231,0.0231,0.4844,0.2765,0.0628
45,-0.0237,0.0237,0.4096,0.2910,0.0796
46,-0.0429,0.0429,0.4665,0.2392,0.0644
47,-0.0309,0.0309,0.4407,0.2115,0.0982
48,-0.0180,0.0180,0.3953,0.2518,0.0400
49,-0.0311,0.0311,0.3900,0.2468,0.1117
50,-0.0249,0.0249,0.4459,0.2815,0.0947
51,-0.0115,0.0115,0.5029,0.2625,0.0841
52,-0.0450,0.0450,0.4158,0.2534,0.0926
53,-0.0483,0.0483,0.4171,0.2220,0.0717
54,-0.0445,0.0445,0.3841,0.2141,0.0485
55,-0.0304,0.0304,0.4743,0.2647,0.0831
56,-0.0282,0.0282,0.4612,0.2060,0.0672
57,-0.0249,0.0249,0.3792,0.2543,0.0359
58,-0.0275,0.0275,0.4625,0.2187,0.0359
59,-0.0158,0.0158,0.4429,0.2473,0.1440
60,-0.0428,0.0428,0.4691,0.2053,0.0226
61,-0.0168,0.0168,0.4863,0.2428,0.0808
62,-0.0478,0.0478,0.4397,0.2590,0.0461
63,-0.0368,0.0368,0.4637,0.2467,0.0757
64,-0.0491,0.0491,0.4451,0.2727,0.0863
65,-0.0186,0.0186,0.4691,0.2215,0.0488
66,-0.0121,0.0121,0.4395,0.2090,0.0574
67,-0.0338,0.0338,0.4418,0.2638,0.1092
68,-0.0370,0.0370,0.4361,0.2050,0.0811
69,-0.0346,0.0346,0.5115,0.2762,0.0523
70,-0.0251,0.0251,0.3718,0.2201,0.0522
71,-0.0161,0.0161,0.4211,0.2996,0.1060
72,-0.0155,0.0155,0.4636,0.2997,0.0762
73,-0.0154,0.0154,0.3749,0.2797,0.0927
74,-0.0337,0.0337,0.4837,0.2111,0.0495
75,-0.0395,0.0395,0.4415,0.2361,0.0226
76,-0.0487,0.0487,0.4995,0.2806,0.0795
77,-0.0125,0.0125,0.4953,0.2264,0.0664
78,-0.0457,0.0457,0.4900,0.2954,0.0500
79,-0.0329,0.0329,0.3988,0.2932,0.1012
80,-0.0189,0.0189,0.5092,0.2953,0.0678
81,-0.0188,0.0188,0.4939,0.2930,0.0538
82,-0.0409,0.0409,0.4669,0.2551,0.0716
83,-0.0304,0.0304,0.4266,0.2427,0.0725
84,-0.0123,0.0123,0.4448,0.2215,0.0968
85,-0.0348,0.0348,0.4406,0.2304,0.0556
86,-0.0351,0.0351,0.3962,0.2238,0.0511
87,-0.0297,0.0297,0.4687,0.2908,0.0744
88,-0.0269,0.0269,0.4155,0.2829,0.1197
89,-0.0447,0.0447,0.3981,0.2034,0.0762
90,-0.0312,0.0312,0.4824,0.2518,0.0779
91,-0.0122,0.0122,0.3766,0.2609,0.1259
92,-0.0474,0.0474,0.4705,0.2602,0.0655
93,-0.0426,0.0426,0.4015,0.2427,0.0844
94,-0.0200,0.0200,0.4273,0.2971,0.1156
95,-0.0302,0.0302,0.4921,0.2069,0.0505
96,-0.0224,0.0224,0.4833,0.2670,0.0445
97,-0.0250,0.0250,0.4437,0.2544,0.0956
98,-0.0329,0.0329,0.4288,0.2179,0.0521
99,-0.0134,0.0134,0.4180,0.2763,0.1562
100,-0.0320,0.0320,0.3812,0.2588,0.0656
101,-0.0260,0.0260,0.3931,0.2492,0.0388
102,-0.0469,0.0469,0.4404,0.2327,0.0785
103,-0.0190,0.0190,0.4365,0.2097,0.0691
104,-0.0308,0.0308,0.4731,0.2535,0.0964
105,-0.0376,0.0376,0.5137,0.2005,0.0495
106,-0.0282,0.0282,0.4111,0.2608,0.0897
107,-0.0265,0.0265,0.4536,0.2217,0.0296
108,-0.0338,0.0338,0.4392,0.2537,0.0414
109,-0.0434,0.0434,0.4918,0.2302,0.0501
110,-0.0484,0.0484,0.4984,0.2666,0.0783
111,-0.0405,0.0405,0.3830,0.2435,0.0547
112,-0.0352,0.0352,0.4046,0.2903,0.0983
113,-0.0281,0.0281,0.4450,0.2343,0.0817
114,-0.0163,0.0163,0.3847,0.2003,0.1283
115,-0.0232,0.0232,0.3812,0.2339,0.0620
116,-0.0413,0.0413,0.4339,0.2406,0.0443
117,-0.0396,0.0396,0.4506,0.2172,0.0681
118,-0.0274,0.0274,0.4014,0.2514,0.0621
119,-0.0318,0.0318,0.4562,0.2727,0.0521
120,-0.0277,0.0277,0.4962,0.2202,0.0280
121,-0.0392,0.0392,0.4332,0.2904,0.0907
122,-0.0306,0.0306,0.5078,0.2223,0.0584
123,-0.0439,0.0439,0.4017,0.2412,0.0404
124,-0.0105,0.0105,0.4684,0.2999,0.1055
125,-0.0425,0.0425,0.4371,0.2128,0.0694
126,-0.0125,0.0125,0.4476,0.2720,0.1017
127,-0.0295,0.0295,0.4949,0.2734,0.0470
128,-0.0174,0.0174,0.4581,0.2635,0.0926
129,-0.0128,0.0128,0.4917,0.2060,0.1033
130,-0.0106,0.0106,0.4027,0.2887,0.0926
131,-0.0471,0.0471,0.5044,0.2214,0.0644
132,-0.0111,0.0111,0.4000,0.2959,0.0804
133,-0.0498,0.0498,0.4929,0.2700,0.0606
134,-0.0135,0.0135,0.4425,0.2119,0.0736
135,-0.0458,0.0458,0.3707,0.2235,0.0576
136,-0.0230,0.0230,0.4977,0.2710,0.0963
137,-0.0403,0.0403,0.4817,0.2481,0.0800
138,-0.0405,0.0405,0.5160,0.2515,0.0745
139,-0.0174,0.0174,0.5047,0.2941,0.0927
140,-0.0260,0.0260,0.4567,0.2016,0.0535
141,-0.0446,0.0446,0.3975,0.2501,0.0352
142,-0.0139,0.0139,0.4670,0.2333,0.0498
143,-0.0368,0.0368,0.3980,0.2685,0.0650
144,-0.0108,0.0108,0.4260,0.2153,0.1207
145,-0.0272,0.0272,0.4661,0.2379,0.0418
146,-0.0355,0.0355,0.4048,0.2443,0.0544
147,-0.0409,0.0409,0.3968,0.2341,0.0508
148,-0.0489,0.0489,0.4926,0.2285,0.0825
149,-0.0320,0.0320,0.4601,0.2031,0.0804
150,-0.0449,0.0449,0.4974,0.2541,0.1013
